address	grantId	name	tag	active	core
0x17a9547e709848b084945aFD8F71D63B5A574091	503	Mission: Cure	31-Contracts:Giveth	true	false
0x18075A06a90e9bDfD77DA63CB1dc7336d1aB0122	1504	ChangemakerXchange	31-Contracts:Giveth	true	false
0x18574656F1710dA99f1407ED1b4Bc9a8bebB262C	1552	Anu Family Services	31-Contracts:Giveth	true	false
0x18Cd976A675C2Dd1b0aB682b6324f63df9447eB5	684	Animal Ethics	31-Contracts:Giveth	true	false
0x193ba092E8ca5E6ce550B53e60EbE219Bcf164bE	964	Southern Coalition for Social Justice	31-Contracts:Giveth	true	false
0x198530a8Fc8521b745eF2F1fB8c6AD9EcB969278	589	SOS Kinderdorf	31-Contracts:Giveth	true	false
0x19910E174Dc5C297E7F6E2Dd40BfecfBe2274264	470	Berkeley-East Bay Humane Society	31-Contracts:Giveth	true	false
0x1a10157190e851DF9947eD7255eC4D543154c6d7	697	The Chinati Foundation	31-Contracts:Giveth	true	false
0x1A16B77fA06fdE7E0945110400396b950De7e845	1137	Inspire Church	31-Contracts:Giveth	true	false
0x1A4bC0e2e9Af1AA88b13FeF4745f18952943502b	583	Club Esteem	31-Contracts:Giveth	true	false
0x1A62c07A61e17414Cf5eC66AF7dc97f3ef03F0e3	1018	Allegheny Land Trust	31-Contracts:Giveth	true	false
0x1aD44446A588010AB6b741cd0201b92f84B597bB	1439	1Hive Gardens	31-Contracts:Giveth	true	false
0x1b0D0B69D2e940C04F85F7D092c183746149EDb9	1548	Movers and Shakers	31-Contracts:Giveth	true	false
0x1B0E6BdCAffC677C4a9ff6b6f00D44b2e5E05dBc	1002	Foundation for Economic Education	31-Contracts:Giveth	true	false
0x1B415eC11276f385db867e631c5C9692f3088112	795	Austin Disaster Relief Network	31-Contracts:Giveth	true	false
0x1b4FD38177D343388Dd83Dd08c7aC8882Ce57809	943	Second Chance Rescue NYC (Inc)	31-Contracts:Giveth	true	false
0x1b74091B4F39cFCFbA9E2eDa98121cE7D7675688	1142	Kids’ Food Basket	31-Contracts:Giveth	true	false
0x1B996a1e93CcAEA76D02221132711a66ED355953	847	Citizens' Climate Education	31-Contracts:Giveth	true	false
0x1BDd93F2DCe2b4746f5caCCb4fF417353d432135	932	TWLOHA	31-Contracts:Giveth	true	false
0x1c1601D1c749405C1FE338f16Eb7D8067252B677	971	Ocean Defenders Alliance	31-Contracts:Giveth	true	false
0x1C47317527c084a3947DFE124C0A07a184DD9676	1547	Liberty Resources, Inc.	31-Contracts:Giveth	true	false
0x1C55D6601515D670E46023560fDa4bb353065517	665	Southeastern Guide Dogs, Inc.	31-Contracts:Giveth	true	false
0x1CD80Cc741e19666158E3fdC94d46DF78A513Aef	1631	Dream Machine Tour	31-Contracts:Giveth	true	false
0x1CDdee0d25A0DE8CB00f82b21beA3AA913464e86	1725	Lupus Canada	31-Contracts:Giveth	true	false
0x1d22e34fe9ca09AF708dAF1Fa3ACc1b7CF4cfF1d	557	Mothers and Children Fund (by The Life You Can Save)	31-Contracts:Giveth	true	false
0x1d2E392d81A800440E7849e05DcA87816B729C85	1488	Phoenix Children's Hospital	31-Contracts:Giveth	true	false
0x1d93348c6051201b16a8db0E55c6c878a6fA3906	501	Jackson Interfaith Shelter	31-Contracts:Giveth	true	false
0x1de498918d04B8Bf162210103CDd547f73387B2E	136	CREATING THE PERFECT VILLAGES IN BURUNDI	31-Contracts:Giveth	true	false
