Num	blocknumber	date	balance	blocknumber	Type	Amount	Count	DAI Balance	Claim Balance	Claim Count
125	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.58958E+18	1	0.00	"5,472.52"	125
126	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.62074E+18	1	0.00	"5,477.14"	126
127	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.83689E+18	1	0.00	"5,481.98"	127
128	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.11919E+18	1	0.00	"5,487.10"	128
129	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.16978E+18	1	0.00	"5,492.27"	129
130	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.38091E+18	1	0.00	"5,497.65"	130
131	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.46617E+18	1	0.00	"5,503.11"	131
132	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.81985E+18	1	0.00	"5,508.93"	132
133	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.03806E+18	1	0.00	"5,514.97"	133
134	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.3498E+18	1	0.00	"5,521.32"	134
135	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.57107E+18	1	0.00	"5,527.89"	135
136	11504939	12/22/20 18:37	0	11504939	PayoutAdded	7.9205E+18	1	0.00	"5,535.81"	136
137	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.48131E+18	1	0.00	"5,544.30"	137
138	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.67549E+18	1	0.00	"5,552.97"	138
139	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.77639E+18	1	0.00	"5,561.75"	139
140	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.03919E+18	1	0.00	"5,570.79"	140
141	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.68559E+18	1	0.00	"5,580.47"	141
142	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.99178E+18	1	0.00	"5,590.46"	142
143	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.05775E+19	1	0.00	"5,601.04"	143
144	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.08167E+19	1	0.00	"5,611.86"	144
145	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.10522E+19	1	0.00	"5,622.91"	145
146	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.12013E+19	1	0.00	"5,634.11"	146
147	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.14362E+19	1	0.00	"5,645.55"	147
148	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.15291E+19	1	0.00	"5,657.08"	148
149	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.19308E+19	1	0.00	"5,669.01"	149
150	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.19883E+19	1	0.00	"5,681.00"	150
151	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.20624E+19	1	0.00	"5,693.06"	151
152	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.21987E+19	1	0.00	"5,705.26"	152
153	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.29587E+19	1	0.00	"5,718.22"	153
154	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.34655E+19	1	0.00	"5,731.68"	154
155	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.39043E+19	1	0.00	"5,745.59"	155
156	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.4066E+19	1	0.00	"5,759.65"	156
157	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.46272E+19	1	0.00	"5,774.28"	157
158	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.51578E+19	1	0.00	"5,789.44"	158
159	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.55228E+19	1	0.00	"5,804.96"	159
160	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.62488E+19	1	0.00	"5,821.21"	160
161	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.71542E+19	1	0.00	"5,838.36"	161
