blocknumber	compressedlog
11504939	PayoutAdded	 286541613962085989442
11504939	PayoutAdded	 306728191576914014149
11504939	PayoutAdded	 311501449601562001134
11504939	PayoutAdded	 320429116231426974081
11504939	PayoutAdded	 322265654956607022540
11504939	PayoutAdded	 332809002237662980405
11504939	PayoutAdded	 355893027030112023112
11504939	PayoutAdded	 362269056734842990863
11504939	PayoutAdded	 369765261929799009976
11504939	PayoutAdded	 393353052983508007400
11504939	PayoutAdded	 408800987197855988597
11504939	PayoutAdded	 411834798357398994994
11504939	PayoutAdded	 453439745048483018763
11504939	PayoutAdded	 457173476817849973485
11504939	PayoutAdded	 464402290924837018337
11504939	PayoutAdded	 506920805762533973393
11504939	PayoutAdded	 3323625500240621249758
11504939	PayoutAdded	 545962147865569022542
11504939	PayoutAdded	 613764763586808953732
11504939	PayoutAdded	 623468175697091965048
11504939	PayoutAdded	 631249478689866009517
11504939	PayoutAdded	 638955463820765999116
11504939	PayoutAdded	 643115250259116010056
11504939	PayoutAdded	 671819657488955954249
11504939	PayoutAdded	 676787137355118034065
11504939	PayoutAdded	 687147473298027989585
11504939	PayoutAdded	 725747290081456981170
11504939	PayoutAdded	 748857429672451985425
11504939	PayoutAdded	 761921457031865998033
11504939	PayoutAdded	 764085937689799038707
11504939	PayoutAdded	 777928039182781958515
11504939	PayoutAdded	 798537642881338001643
11504939	PayoutAdded	 803218622865785050635
11504939	PayoutAdded	 819243956986341004267
11504939	PayoutAdded	 819335015486546012652
11504939	PayoutAdded	 825141404013028022745
11504939	PayoutAdded	 826565117442374003076
11504939	PayoutAdded	 841917154438471015964
11504939	PayoutAdded	 859761282303550956385
11504939	PayoutAdded	 870962928625434983587
11504939	PayoutAdded	 880478619788401033474
11504939	PayoutAdded	 907443337545116946785
11504939	PayoutAdded	 924680705541292013549
11504939	PayoutAdded	 953273921525434047907
11504939	PayoutAdded	 957307432075593965237
11504939	PayoutAdded	 960428174166375015374
11504939	PayoutAdded	 972390955942535015310
11504939	PayoutAdded	 983905322704703053204
